Gene	Expt	x	y	neighbour	neighbour_array	neighbour_prob
Cplx2	13	16310.5115406219	26041.9706568245	86080	[65101, 65110, 64408, 86080]	[1e-10, 2.3433716489999998e-58, 7.143660516999999e-71, 0.9999999999]
Aldoc	0	16311.5115406219	26073.9706568245	86080	[65110, 65101, 65143, 86080]	[2.876897368e-26, 1.4220614170000002e-33, 3.359757661e-49, 1.0]
Aldoc	0	16311.5115406219	26202.9706568245	86080	[65143, 65110, 65547, 86080]	[2.73692469e-16, 4.075254075e-32, 2.502416148e-73, 1.0]
Cplx2	13	16311.5115406219	26310.9706568245	86080	[65005, 64476, 65019, 86080]	[8.138340906e-66, 1.910848403e-79, 1.1756423630000001e-85, 1.0]
Nrn1	39	16311.5115406219	26384.9706568245	86080	[65005, 65019, 65132, 86080]	[0.0006212218, 3e-10, 3.8761955390000006e-18, 0.9993787780000001]
Satb1	56	16312.5115406219	26288.9706568245	86080	[65547, 65668, 65005, 86080]	[4.938532314e-72, 3.265138797e-97, 5.1001778189999993e-98, 1.0]
Aldoc	0	16312.5115406219	26325.9706568245	86080	[65005, 65019, 64476, 86080]	[1.731596559e-47, 1.516932912e-64, 1.480502935e-69, 1.0]
Cplx2	13	16313.5115406219	26168.9706568245	86080	[65143, 65110, 65560, 86080]	[0.0059379506, 1.52e-08, 3.7272985150000005e-62, 0.9940620342]
Slc6a1	60	16314.5115406219	26437.9706568245	65019	[65019, 64913, 65132, 86080]	[0.8686877132, 0.0200428968, 0.0027334352000000003, 0.1085359548]
Serpini1	58	16315.5115406219	26137.9706568245	86080	[65110, 65143, 65560, 86080]	[0.3154930386, 8.730040000000001e-05, 3.048839749e-61, 0.6844196610000001]
Nrn1	39	16316.5115406219	26064.9706568245	86080	[65101, 65110, 65143, 86080]	[2.4482629669999998e-24, 5.685098807000001e-33, 2.060691823e-58, 1.0]
Cplx2	13	16316.5115406219	26153.9706568245	86080	[65143, 65110, 65560, 86080]	[0.1705028177, 0.0097628273, 1.3352550330000002e-57, 0.8197343549]
Prkca	47	16317.5115406219	26402.9706568245	65005	[65005, 65019, 65132, 86080]	[0.9169258783, 0.0018487461, 2.33e-08, 0.0812253524]
Vip	70	16318.5115406219	26126.9706568245	65110	[65110, 65143, 65560, 86080]	[0.9409737056, 3.65e-08, 3.834256866e-62, 0.059026257900000004]
Tac2	66	16318.5115406219	26143.9706568245	65110	[65110, 65143, 65560, 86080]	[0.8479593205, 0.0053233956, 5.703263359e-57, 0.146717284]
Gabrd	20	16318.5115406219	26338.9706568245	86080	[65005, 65019, 65198, 86080]	[4.454042036999999e-34, 1.155305598e-48, 3.479123886e-53, 1.0]
Cxcl14	18	16319.5115406219	26161.9706568245	65143	[65143, 65110, 65560, 86080]	[0.7493750453, 0.0001630058, 1.384584544e-54, 0.2504619489]
Yjefn3	72	16320.5115406219	26136.9706568245	65110	[65110, 65143, 65560, 86080]	[0.8614498974, 0.0001470404, 4.0153631960000003e-56, 0.1384030622]
Nrn1	39	16320.5115406219	26170.9706568245	86080	[65143, 65110, 65560, 86080]	[0.048831982600000004, 1.18e-08, 6.504978155e-54, 0.9511680056]
Snca	61	16320.5115406219	26420.9706568245	65019	[65019, 65005, 65132, 86080]	[0.9829504126, 0.013252467300000001, 0.0004803306, 0.0033167896000000003]
Gabrd	20	16321.5115406219	26041.9706568245	86080	[65101, 65110, 64408, 86080]	[3.9e-09, 1.5520752450000002e-56, 2.9673777140000003e-86, 0.9999999961]
Rgs12	54	16321.5115406219	26119.9706568245	86080	[65110, 65143, 65560, 86080]	[0.3431433347, 7.000000000000001e-10, 1.3615223350000002e-60, 0.6568566646]
Snca	61	16321.5115406219	26291.9706568245	86080	[65547, 65668, 65005, 86080]	[5.933919341000001e-63, 1.3788756230000002e-85, 8.044623183e-94, 1.0]
Prkca	47	16321.5115406219	26423.9706568245	65019	[65019, 65005, 65132, 86080]	[0.9892424085, 0.0059217802, 0.0015565598, 0.0032792514]
Cxcl14	18	16321.5115406219	26768.9706568245	86080	[65025, 64969, 65328, 86080]	[0.0, 1.729232252e-19, 2.637639749e-23, 1.0]
Enpp2	19	16322.5115406219	26046.9706568245	86080	[65101, 65110, 65143, 86080]	[0.0, 1.693692677e-50, 4.918218077999999e-81, 1.0]
Gabrd	20	16323.5115406219	26325.9706568245	86080	[65005, 65019, 65198, 86080]	[3.580273007e-48, 7.104838887999999e-65, 3.893421411e-67, 1.0]
Cnr1	9	16323.5115406219	26417.9706568245	65019	[65019, 65005, 65132, 86080]	[0.9520965161, 0.0352596403, 0.0013642392, 0.0112796045]
Cox6a2	12	16323.5115406219	26434.9706568245	65019	[65019, 65132, 65005, 86080]	[0.5796847528, 0.3374123187, 0.0001508642, 0.0827520643]
Vip	70	16324.5115406219	26131.9706568245	65110	[65110, 65143, 65560, 86080]	[0.9995351126, 3.4360000000000003e-07, 1.9591972420000003e-55, 0.00046454380000000004]
Id2	26	16324.5115406219	26281.9706568245	86080	[65547, 65668, 65143, 86080]	[3.1086967630000004e-54, 9.784764783e-77, 1.9780879870000002e-100, 1.0]
Reln	52	16324.5115406219	26306.9706568245	86080	[65547, 65005, 65668, 86080]	[4.5288986950000006e-70, 3.095351783e-72, 6.134687476e-91, 1.0]
Plp1	45	16325.5115406219	26989.9706568245	86080	[65178, 65164, 65358, 86080]	[0.0, 4.323484763e-54, 7.4053197150000006e-62, 1.0]
Slc6a1	60	16326.5115406219	26155.9706568245	65143	[65143, 65110, 65560, 86080]	[0.9815091747, 0.0013709213, 1.521370622e-47, 0.017119904000000002]
Aldoc	0	16327.5115406219	26175.9706568245	86080	[65143, 65110, 65560, 86080]	[0.134890292, 4e-10, 4.3244600269999994e-47, 0.8651097076]
Vip	70	16328.5115406219	26150.9706568245	65143	[65143, 65110, 65560, 86080]	[0.6640510639, 0.31588708530000004, 1.5733838599999997e-45, 0.0200618509]
Penk	43	16328.5115406219	26285.9706568245	86080	[65547, 65668, 65819, 86080]	[6.502613652e-52, 4.1493027610000006e-73, 1.131035849e-103, 1.0]
Snca	61	16328.5115406219	26387.9706568245	86080	[65005, 65019, 65198, 86080]	[0.00011170450000000001, 2.7e-09, 1e-10, 0.9998882926]
Cxcl14	18	16329.5115406219	26138.9706568245	65110	[65110, 65143, 65560, 86080]	[0.9993821582, 0.0002544102, 4.362019852999999e-48, 0.00036343160000000004]
Calb1	3	16329.5115406219	26321.9706568245	86080	[65005, 65198, 65019, 86080]	[4.178399623e-54, 9.929533763e-71, 4.9307854719999996e-71, 1.0]
Cplx2	13	16329.5115406219	26329.9706568245	86080	[65005, 65198, 65019, 86080]	[4.2408769959999995e-45, 2.267523707e-60, 1.594756893e-60, 1.0]
Pde1a	42	16330.5115406219	26101.9706568245	86080	[65110, 65143, 65560, 86080]	[2.5214e-06, 6.976860403e-20, 3.0088216280000004e-61, 0.9999974786]
Sema3c	57	16330.5115406219	26413.9706568245	86080	[65005, 65019, 65132, 86080]	[0.1455651264, 0.128409179, 0.07198712730000001, 0.6540385673]
Cck	5	16330.5115406219	26439.9706568245	65132	[65132, 65019, 65198, 86080]	[0.9923524636000001, 0.0006539156, 8.96256e-05, 0.0069039952000000005]
Rgs4	55	16331.5115406219	26010.9706568245	65101	[65101, 65770, 64408, 86080]	[0.9898996583, 8.076039232e-97, 3.3222317520000002e-99, 0.010100341700000001]
Cck	5	16331.5115406219	26224.9706568245	86080	[65143, 65547, 65110, 86080]	[2.962219784e-28, 2.876103353e-41, 2.027153458e-51, 1.0]
Kit	29	16331.5115406219	27008.9706568245	86080	[65178, 65164, 65358, 86080]	[1.9507790750000001e-25, 5.5839890490000004e-33, 2.392081887e-81, 1.0]
Crh	15	16332.5115406219	26127.9706568245	65110	[65110, 65143, 65560, 86080]	[0.9987649624, 6.84e-08, 8.233848684e-48, 0.0012349692000000001]
Pnoc	46	16332.5115406219	26170.9706568245	65143	[65143, 65110, 65560, 86080]	[0.8568822846, 3.7400000000000004e-08, 1.6250948809999998e-41, 0.143117678]
Cck	5	16332.5115406219	26290.9706568245	86080	[65547, 65668, 65819, 86080]	[1.391469606e-50, 2.086653681e-70, 2.3023261760000002e-97, 1.0]
Tac1	65	16332.5115406219	26446.9706568245	65132	[65132, 65019, 65198, 86080]	[0.7039491005, 0.0002537519, 0.0002070417, 0.2955901059]
Lamp5	30	16333.5115406219	26076.9706568245	86080	[65110, 65101, 65143, 86080]	[3.832405264e-21, 6.945032443999999e-34, 4.315849562e-42, 1.0]
Cpne5	14	16333.5115406219	26183.9706568245	86080	[65143, 65110, 65560, 86080]	[0.0015683093, 0.0, 3.9307103870000006e-43, 0.9984316907]
Neurod6	33	16334.5115406219	26043.9706568245	86080	[65101, 65110, 65770, 86080]	[2.7e-09, 2.649312149e-53, 1.9625821120000003e-79, 0.9999999973]
Pde1a	42	16334.5115406219	26237.9706568245	86080	[65547, 65143, 65668, 86080]	[7.974529125e-36, 6.464389822e-41, 1.37752654e-58, 1.0]
Penk	43	16334.5115406219	26300.9706568245	86080	[65547, 65668, 65005, 86080]	[3.843176631e-55, 8.649301867e-74, 5.511782017e-83, 1.0]
Tac2	66	16334.5115406219	26415.9706568245	86080	[65198, 65132, 65019, 86080]	[0.35350010390000003, 0.2133943985, 0.0218351494, 0.4112703481]
Trp53i11	69	16335.5115406219	26070.9706568245	86080	[65110, 65101, 65143, 86080]	[8.481482374000001e-26, 1.549124061e-28, 4.119033667e-48, 1.0]
Slc6a1	60	16335.5115406219	26215.9706568245	86080	[65143, 65547, 65110, 86080]	[3.4562840999999996e-20, 2.52956467e-40, 1.5334119109999999e-41, 1.0]
Penk	43	16335.5115406219	26282.9706568245	86080	[65547, 65668, 65819, 86080]	[2.2962226110000004e-43, 6.292919081e-63, 2.0827293949999997e-92, 1.0]
Cck	5	16336.5115406219	26000.9706568245	65101	[65101, 65770, 64408, 86080]	[0.9993455959, 6.687300504000001e-97, 5.0726896490000003e-110, 0.0006544041000000001]
Cxcl14	18	16336.5115406219	26131.9706568245	65110	[65110, 65143, 65560, 86080]	[0.9996653058, 4.658e-06, 5.764278479e-43, 0.0003300363]
Enpp2	19	16336.5115406219	26471.9706568245	86080	[64976, 65132, 65198, 86080]	[1.3573000000000001e-06, 4.4000000000000005e-09, 0.0, 0.9999986383]
Lamp5	30	16337.5115406219	26290.9706568245	86080	[65547, 65668, 65819, 86080]	[9.373824881000002e-46, 2.852882205e-64, 1.2555030140000001e-89, 1.0]
Cxcl14	18	16338.5115406219	26147.9706568245	65143	[65143, 65110, 65560, 86080]	[0.9525337381000001, 0.0458609179, 8.457360481000001e-37, 0.0016053441000000001]
Gabrd	20	16338.5115406219	26296.9706568245	86080	[65547, 65668, 65819, 86080]	[1.378174508e-48, 1.887154908e-66, 6.862378657e-89, 1.0]
Tac2	66	16339.5115406219	26131.9706568245	65110	[65110, 65143, 65560, 86080]	[0.9993526484, 2.6347e-06, 8.096092026999998e-40, 0.0006447169]
Lamp5	30	16339.5115406219	26241.9706568245	86080	[65547, 65143, 65668, 86080]	[8.264090723000002e-31, 3.186828379e-45, 5.278645119e-52, 1.0]
Reln	52	16339.5115406219	26417.9706568245	65198	[65198, 65132, 65019, 86080]	[0.8118572430000001, 0.09773222990000001, 0.0003155825, 0.09009494450000001]
Vip	70	16340.5115406219	26137.9706568245	65110	[65110, 65143, 65560, 86080]	[0.9994851487, 0.00014958620000000001, 2.088504051e-37, 0.0003652652]
Penk	43	16340.5115406219	26284.9706568245	86080	[65547, 65668, 65819, 86080]	[1.0133825729999998e-39, 7.596411042e-58, 9.138108278000001e-85, 1.0]
Cnr1	9	16341.5115406219	26152.9706568245	65143	[65143, 65110, 65560, 86080]	[0.9985938948, 0.0003699865, 8.965797184e-34, 0.0010361188]
Slc6a1	60	16342.5115406219	26033.9706568245	86080	[65101, 65110, 65770, 86080]	[8.1425e-06, 6.171581157e-66, 3.984684564e-70, 0.9999918575000001]
Cck	5	16342.5115406219	26070.9706568245	86080	[65110, 65101, 65143, 86080]	[6.679439114e-26, 2.585136125e-28, 1.9632259740000003e-48, 1.0]
Reln	52	16342.5115406219	26093.9706568245	86080	[65110, 65143, 65101, 86080]	[1e-10, 5.682743146e-26, 7.002279763e-53, 0.9999999999]
Nrn1	39	16342.5115406219	26350.9706568245	86080	[65005, 65198, 65019, 86080]	[1.439046123e-29, 3.758394905e-35, 1.630743314e-40, 1.0]
Rgs4	55	16342.5115406219	26420.9706568245	65198	[65198, 65132, 65019, 86080]	[0.9859148501, 0.0097752761, 2.9347e-06, 0.0043069391000000005]
Aldoc	0	16342.5115406219	27232.9706568245	86080	[65316, 65426, 65388, 86080]	[7.57644e-05, 0.0, 0.0, 0.9999242356]
Cck	5	16343.5115406219	26002.9706568245	65101	[65101, 65770, 65110, 86080]	[0.9961496830000001, 3.379499573e-85, 1.575797685e-115, 0.0038503170000000002]
Rgs4	55	16344.5115406219	26008.9706568245	65101	[65101, 65770, 65110, 86080]	[0.9852613080000001, 1.30798575e-79, 1.346539838e-105, 0.014738692000000001]
Cplx2	13	16344.5115406219	26142.9706568245	65110	[65110, 65143, 65560, 86080]	[0.7293899119, 0.1832934703, 2.3360109050000005e-30, 0.08731661780000001]
Slc6a1	60	16344.5115406219	26151.9706568245	65143	[65143, 65110, 65560, 86080]	[0.9979469948, 0.0003442776, 5.940722928e-31, 0.0017087275000000001]
Cplx2	13	16344.5115406219	26287.9706568245	86080	[65547, 65668, 65819, 86080]	[7.899826620999999e-38, 1.0297978379999999e-54, 1.086767808e-78, 1.0]
Nov	35	16344.5115406219	26398.9706568245	86080	[65198, 65005, 65132, 86080]	[0.0011499972000000001, 3.56e-07, 3.397e-07, 0.9988493070000001]
Serpini1	58	16345.5115406219	26041.9706568245	86080	[65101, 65110, 65770, 86080]	[1.7000000000000001e-09, 1.470041297e-56, 1.3136396809999998e-64, 0.9999999983000001]
Trp53i11	69	16345.5115406219	26170.9706568245	65143	[65143, 65110, 65560, 86080]	[0.7720246829, 4.3000000000000005e-09, 4.363236964e-29, 0.2279753128]
Lamp5	30	16345.5115406219	26390.9706568245	86080	[65198, 65005, 65132, 86080]	[9.111e-07, 2.2000000000000003e-09, 0.0, 0.9999990867]
Lamp5	30	16346.5115406219	26272.9706568245	86080	[65547, 65668, 65819, 86080]	[2.024107304e-29, 9.232626043e-47, 8.053048762e-77, 1.0]
Cck	5	16346.5115406219	26310.9706568245	86080	[65547, 65668, 65005, 86080]	[3.0899496919999998e-52, 4.266768236e-67, 1.352394197e-73, 1.0]
Wfs1	71	16346.5115406219	26423.9706568245	65198	[65198, 65132, 65019, 86080]	[0.9928421308000001, 0.0048478645, 6.78e-08, 0.0023099369]
Sema3c	57	16346.5115406219	26433.9706568245	65198	[65198, 65132, 65019, 86080]	[0.9382395365, 0.0545055023, 9.52e-08, 0.0072548661]
Wfs1	71	16347.5115406219	26216.9706568245	86080	[65143, 65547, 65110, 86080]	[1.368265238e-22, 2.3187408249999998e-29, 1.9922345009999999e-44, 1.0]
Penk	43	16347.5115406219	26245.9706568245	86080	[65547, 65668, 65143, 86080]	[7.388966369999999e-24, 1.059059308e-42, 3.6067285350000003e-50, 1.0]
Lamp5	30	16347.5115406219	26333.9706568245	86080	[65005, 65198, 65019, 86080]	[3.617166988e-47, 2.738440152e-53, 5.8134033470000006e-61, 1.0]
Trp53i11	69	16347.5115406219	26361.9706568245	86080	[65005, 65198, 65019, 86080]	[9.626986024e-24, 4.148347309e-25, 2.0687715120000002e-32, 1.0]
Yjefn3	72	16347.5115406219	26454.9706568245	86080	[65132, 65198, 65019, 86080]	[0.0035208236, 4.94457e-05, 0.0, 0.9964297306000001]
Rgs4	55	16348.5115406219	26078.9706568245	86080	[65110, 65101, 65143, 86080]	[3.138611146e-21, 3.932671486000001e-37, 9.917775269e-41, 1.0]
Enpp2	19	16348.5115406219	26261.9706568245	86080	[65547, 65668, 65143, 86080]	[9.974734408000001e-25, 2.896965727e-42, 1.288691799e-70, 1.0]
Cplx2	13	16349.5115406219	26024.9706568245	86080	[65101, 65770, 65110, 86080]	[0.0013614125, 7.613971695e-64, 2.208207841e-79, 0.9986385875]
Cadps2	2	16349.5115406219	26148.9706568245	65143	[65143, 65110, 65560, 86080]	[0.7178121691, 0.010065657, 7.763248624e-25, 0.2721221739]
Gabrd	20	16349.5115406219	26288.9706568245	86080	[65547, 65668, 65819, 86080]	[2.4376727439999996e-34, 7.497701697e-50, 5.284387521e-72, 1.0]
Snca	61	16349.5115406219	26443.9706568245	86080	[65132, 65198, 65019, 86080]	[0.2961799895, 0.1051150651, 1.71e-08, 0.5987049282]
Cox6a2	12	16350.5115406219	26045.9706568245	86080	[65101, 65110, 65770, 86080]	[0.0, 7.095625571000001e-53, 8.418078063e-58, 1.0]
Trp53i11	69	16350.5115406219	26152.9706568245	65143	[65143, 65110, 65560, 86080]	[0.8467325638000001, 0.0006601487000000001, 5.605362877e-24, 0.1526072875]
Nrn1	39	16352.5115406219	26005.9706568245	86080	[65101, 65770, 65110, 86080]	[0.08968252310000001, 1.59754792e-69, 1.9522806620000004e-110, 0.9103174769]
Rgs4	55	16352.5115406219	26020.9706568245	86080	[65101, 65770, 65110, 86080]	[0.0025438402, 9.829743747000001e-62, 1.428091005e-86, 0.9974561598]
Pde1a	42	16352.5115406219	26383.9706568245	86080	[65198, 65005, 65132, 86080]	[3e-10, 0.0, 1.2301142469999999e-16, 0.9999999997000001]
Prkca	47	16352.5115406219	26392.9706568245	86080	[65198, 65132, 65005, 86080]	[5.4858e-06, 0.0, 0.0, 0.9999945141000001]
Cck	5	16353.5115406219	26102.9706568245	86080	[65110, 65143, 65560, 86080]	[5.57e-08, 2.531622318e-20, 8.570148084e-40, 0.9999999443]
Enpp2	19	16353.5115406219	26240.9706568245	86080	[65547, 65668, 65143, 86080]	[1.938164532e-19, 4.843001671e-37, 6.875224558e-46, 1.0]
Plp1	45	16353.5115406219	26271.9706568245	86080	[65547, 65668, 65819, 86080]	[1.152606392e-23, 3.037132434e-39, 2.6034851259999995e-67, 1.0]
Rgs4	55	16354.5115406219	26310.9706568245	86080	[65547, 65668, 65801, 86080]	[4.017299145e-46, 6.833004794e-59, 3.629711612e-66, 1.0]
Trp53i11	69	16356.5115406219	26245.9706568245	86080	[65547, 65668, 65143, 86080]	[3.7140375820000004e-17, 1.1993190090000002e-33, 1.165800165e-51, 1.0]
Wfs1	71	16356.5115406219	26317.9706568245	86080	[65547, 65801, 65668, 86080]	[5.452777612e-51, 5.0073891340000005e-61, 8.857739225e-63, 1.0]
Wfs1	71	16356.5115406219	26341.9706568245	86080	[65005, 65198, 65019, 86080]	[3.9322107339999996e-44, 1.920696822e-44, 5.432558141e-56, 1.0]
Snca	61	16356.5115406219	26463.9706568245	86080	[65132, 65198, 65482, 86080]	[4.57e-08, 1.6e-09, 0.0, 0.9999999527000001]
Id2	26	16357.5115406219	26354.9706568245	86080	[65198, 65005, 65132, 86080]	[8.928577867000001e-32, 6.355187891e-34, 6.052517519000001e-42, 1.0]
Cplx2	13	16358.5115406219	26011.9706568245	86080	[65101, 65770, 65890, 86080]	[0.0007695382, 5.195115154e-59, 3.1998386110000004e-100, 0.9992304618000001]
Id2	26	16359.5115406219	26199.9706568245	86080	[65143, 65560, 65547, 86080]	[0.0, 1.5944810049999999e-28, 5.419385612999999e-29, 1.0]
Nrn1	39	16359.5115406219	26349.9706568245	86080	[65198, 65005, 65132, 86080]	[8.56196282e-37, 4.9039329329999995e-39, 8.574879576000001e-48, 1.0]
Rgs4	55	16360.5115406219	26374.9706568245	86080	[65198, 65005, 65132, 86080]	[2.6468335980000003e-16, 1.91268718e-23, 4.554683729e-25, 1.0]
Wfs1	71	16362.5115406219	26320.9706568245	86080	[65547, 65801, 65668, 86080]	[5.447900895000001e-50, 5.669842688e-53, 5.134774393e-60, 1.0]
Penk	43	16365.5115406219	26247.9706568245	86080	[65547, 65668, 65143, 86080]	[0.0, 1.4979260080000002e-25, 4.4108046649999996e-57, 1.0]
Cck	5	16368.5115406219	26258.9706568245	86080	[65547, 65668, 65819, 86080]	[1e-10, 1.787982083e-23, 5.3388373820000005e-52, 0.9999999999]
Nrn1	39	16371.5115406219	26368.9706568245	86080	[65198, 65132, 65005, 86080]	[2.833673235e-23, 3.6100508819999994e-34, 2.1884226629999997e-34, 1.0]
Cxcl14	18	16372.5115406219	26214.9706568245	86080	[65547, 65668, 65143, 86080]	[0.0, 1.755789241e-28, 1.3791781080000001e-27, 1.0]
Plp1	45	16372.5115406219	26725.9706568245	65328	[65328, 65352, 65025, 86080]	[0.9903924942000001, 0.003118712, 1.7261227799999998e-21, 0.0064887938]
Nrn1	39	16374.5115406219	26014.9706568245	86080	[65101, 65770, 65890, 86080]	[0.0, 4.616077944e-41, 9.338255247999999e-77, 1.0]
Nrn1	39	16374.5115406219	26206.9706568245	86080	[65547, 65143, 65560, 86080]	[7.003516652e-17, 5.37098213e-24, 3.859067618e-24, 1.0]
Cplx2	13	16374.5115406219	26322.9706568245	86080	[65801, 65547, 65819, 86080]	[9.917077420999999e-40, 1.261843396e-45, 4.38431766e-51, 1.0]
Aldoc	0	16377.5115406219	26009.9706568245	86080	[65101, 65770, 65890, 86080]	[0.0, 5.442894809e-41, 5.715899196e-77, 1.0]
Pthlh	48	16377.5115406219	26412.9706568245	86080	[65198, 65482, 65132, 86080]	[8.5096e-06, 3.785e-07, 0.0, 0.9999911119]
Enpp2	19	16377.5115406219	26643.9706568245	65458	[65458, 65501, 65589, 86080]	[0.5083229174, 0.0, 4.1990855140000004e-18, 0.49167708260000004]
Aldoc	0	16377.5115406219	26748.9706568245	65328	[65328, 65352, 65470, 86080]	[0.9473908258, 1e-10, 8.756846696e-19, 0.0526091741]
Lamp5	30	16379.5115406219	26190.9706568245	86080	[65560, 65143, 65547, 86080]	[0.0, 4.963699572000001e-18, 1.2687043269999999e-24, 1.0]
Cplx2	13	16380.5115406219	26065.9706568245	86080	[65770, 65745, 65101, 86080]	[2.03260357e-27, 1.0464591830000001e-35, 1.4088108319999998e-39, 1.0]
Trp53i11	69	16380.5115406219	26633.9706568245	65458	[65458, 65501, 65384, 86080]	[0.8079567468000001, 1.9e-09, 0.0, 0.1920432514]
Nrn1	39	16381.5115406219	26072.9706568245	86080	[65770, 65745, 65110, 86080]	[4.280418318e-28, 3.116605966e-31, 1.1466684549999999e-39, 1.0]
Nrn1	39	16381.5115406219	26426.9706568245	86080	[65482, 65198, 65582, 86080]	[0.032866527, 1.5597e-06, 3.41e-08, 0.9671318792]
Rasgrf2	51	16383.5115406219	26185.9706568245	86080	[65560, 65143, 65547, 86080]	[1.4000000000000001e-09, 3.4392803380000004e-18, 6.0585041610000004e-27, 0.9999999986]
Lamp5	30	16383.5115406219	26196.9706568245	86080	[65560, 65547, 65143, 86080]	[0.0, 4.148583762e-19, 3.551737837e-23, 1.0]
Cck	5	16383.5115406219	26278.9706568245	86080	[65547, 65668, 65819, 86080]	[2e-10, 8.718418491e-18, 1.356155574e-32, 0.9999999998]
Nrn1	39	16384.5115406219	26075.9706568245	86080	[65770, 65745, 65110, 86080]	[1.6573425020000002e-26, 1.441191208e-27, 2.962369381e-39, 1.0]
Nrn1	39	16385.5115406219	26135.9706568245	86080	[65560, 65110, 65143, 86080]	[2.8926e-06, 3.514446638e-17, 1.10550172e-17, 0.9999971074]
Rgs4	55	16386.5115406219	26071.9706568245	86080	[65770, 65745, 65890, 86080]	[7.463449769e-24, 5.439753382e-28, 1.546488045e-42, 1.0]
Lamp5	30	16387.5115406219	26062.9706568245	86080	[65770, 65745, 65890, 86080]	[2.121549771e-21, 2.6849439420000005e-32, 6.702577874e-42, 1.0]
Aldoc	0	16387.5115406219	26223.9706568245	86080	[65547, 65668, 65560, 86080]	[2.42375e-05, 0.0, 4.776379272e-32, 0.9999757625000001]
Rgs4	55	16388.5115406219	26190.9706568245	86080	[65560, 65547, 65143, 86080]	[8e-10, 1.1144836469999999e-21, 1.6788985350000002e-23, 0.9999999992]
Prkca	47	16388.5115406219	26209.9706568245	86080	[65547, 65560, 65668, 86080]	[2e-10, 1.418060241e-20, 7.305257274999998e-21, 0.9999999998]
Nrn1	39	16389.5115406219	27113.9706568245	65518	[65518, 65504, 65619, 86080]	[0.9657531208000001, 0.0, 0.0, 0.034246879200000004]
Penk	43	16389.5115406219	27260.9706568245	65468	[65468, 65388, 65329, 86080]	[0.9241239695000001, 0.0693815973, 0.000788439, 0.0057059942]
Cxcl14	18	16392.5115406219	26415.9706568245	86080	[65482, 65582, 65198, 86080]	[0.0010231402000000001, 1.114e-07, 0.0, 0.9989767484000001]
Prkca	47	16394.5115406219	26206.9706568245	86080	[65547, 65560, 65668, 86080]	[2e-10, 4.9706097040000006e-17, 1.365471775e-19, 0.9999999998]
Aldoc	0	16394.5115406219	27212.9706568245	65532	[65532, 65426, 65442, 86080]	[0.968916214, 0.0089363266, 0.0004687599, 0.021678699500000002]
